"","x"
"857","L"
"858","D"
"859","D"
"860","W"
"861","L"
"862","W"
"863","L"
"864","W"
"865","W"
"866","L"
"867","L"
"868","L"
"869","D"
"870","W"
"871","L"
"872","D"
"873","W"
"874","L"
"875","W"
"876","W"
"877","D"
"878","W"
"879","D"
"880","D"
"881","W"
"882","L"
"883","L"
"884","W"
"885","W"
"886","W"
"887","W"
"888","W"
"889","L"
"890","W"
"891","W"
"892","D"
"893","D"
"894","W"
"895","L"
"896","D"
"897","W"
"898","D"
"899","L"
"900","L"
"901","W"
"902","L"
"903","W"
"904","W"
"905","L"
"906","D"
"907","L"
"908","W"
"909","L"
"910","W"
"911","D"
"912","W"
"913","W"
"914","L"
"915","W"
"916","W"
"917","L"
"918","W"
"919","D"
"920","W"
"921","W"
"922","W"
"923","W"
"924","D"
"925","L"
"926","D"
"927","W"
"928","W"
"929","W"
"930","W"
"931","D"
"932","L"
"933","D"
"934","D"
"935","W"
"936","D"
"937","L"
"938","W"
"939","D"
"940","D"
"941","W"
"942","L"
"943","W"
"944","D"
"945","W"
"946","L"
"947","W"
"948","W"
"949","D"
"950","D"
"951","W"
"952","D"
"953","W"
"954","W"
"955","W"
"956","W"
"957","L"
"958","W"
"959","L"
"960","D"
"961","W"
"962","W"
"963","L"
"964","D"
"965","W"
"966","L"
"967","D"
"968","W"
"969","W"
"970","W"
"971","L"
"972","W"
"973","D"
"974","L"
"975","D"
"976","W"
"977","W"
"978","L"
"979","W"
"980","L"
"981","L"
"982","W"
"983","D"
"984","W"
"985","D"
"986","W"
"987","D"
"988","L"
"989","W"
"990","W"
"991","W"
"992","L"
"993","W"
"994","W"
"995","D"
"996","L"
"997","L"
"998","W"
"999","W"
"1000","W"
"1001","D"
"1002","D"
"1003","L"
"1004","W"
"1005","W"
"1006","D"
"1007","L"
"1008","L"
"1009","W"
"1010","W"
"1011","W"
"1012","W"
"1013","W"
"1014","L"
"1015","W"
"1016","D"
"1017","W"
"1018","L"
"1019","W"
"1020","D"
"1021","L"
"1022","W"
"1023","L"
"1024","L"
"1025","D"
"1026","W"
"1027","W"
"1028","D"
"1029","L"
"1030","L"
"1031","W"
"1032","L"
"1033","W"
"1034","D"
"1035","W"
"1036","W"
"1037","D"
"1038","L"
"1039","W"
"1040","W"
"1041","W"
"1042","W"
"1043","W"
"1044","L"
"1045","W"
"1046","L"
"1047","D"
"1048","W"
"1049","L"
"1050","D"
"1051","D"
"1052","W"
"1053","D"
"1054","W"
"1055","W"
"1056","L"
"1057","L"
"1058","W"
"1059","D"
"1060","D"
"1061","W"
"1062","W"
"1063","W"
"1064","L"
"1065","W"
"1066","W"
"1067","L"
"1068","W"
"1069","D"
"1070","D"
"1071","W"
"1072","L"
"1073","W"
"1074","W"
"1075","D"
"1076","D"
"1077","D"
"1078","L"
"1079","L"
"1080","L"
"1081","L"
"1082","W"
"1083","L"
"1084","W"
"1085","L"
"1086","L"
"1087","W"
"1088","W"
"1089","L"
"1090","L"
"1091","W"
"1092","W"
"1093","W"
"1094","W"
"1095","W"
"1096","W"
"1097","W"
"1098","L"
"1099","L"
"1100","L"
"1101","D"
"1102","W"
"1103","W"
"1104","W"
"1105","D"
"1106","D"
"1107","W"
"1108","W"
"1109","W"
"1110","L"
"1111","W"
"1112","W"
"1113","L"
"1114","L"
"1115","W"
"1116","W"
"1117","W"
"1118","L"
"1119","L"
"1120","D"
"1121","W"
"1122","L"
"1123","D"
"1124","D"
"1125","L"
"1126","W"
"1127","W"
"1128","D"
"1129","W"
"1130","W"
"1131","W"
"1132","D"
"1133","W"
"1134","W"
"1135","D"
"1136","L"
"1137","L"
"1138","W"
"1139","D"
"1140","L"
"1141","L"
"1142","W"
"1143","D"
"1144","D"
"1145","L"
"1146","D"
"1147","W"
"1148","D"
"1149","W"
"1150","W"
"1151","D"
"1152","D"
"1153","W"
"1154","L"
"1155","L"
"1156","W"
"1157","W"
"1158","D"
"1159","L"
"1160","D"
"1161","W"
"1162","W"
"1163","L"
"1164","D"
"1165","W"
"1166","W"
"1167","D"
"1168","D"
"1169","W"
"1170","W"
"1171","W"
"1172","L"
"1173","W"
"1174","W"
"1175","W"
"1176","W"
"1177","L"
"1178","W"
"1179","L"
"1180","D"
"1181","D"
"1182","W"
"1183","L"
"1184","D"
"1185","L"
"1186","D"
"1187","L"
"1188","W"
"1189","L"
"1190","L"
"1191","W"
"1192","L"
"1193","L"
"1194","L"
"1195","L"
"1196","L"
"1197","W"
"1198","W"
"1199","W"
"1200","W"
"1201","L"
"1202","W"
"1203","D"
"1204","W"
"1205","L"
"1206","L"
"1207","D"
"1208","L"
"1209","W"
"1210","L"
"1211","L"
"1212","W"
"1213","L"
"1214","D"
"1215","L"
"1216","W"
"1217","L"
"1218","D"
"1219","L"
"1220","L"
"1221","W"
"1222","W"
"1223","L"
"1224","L"
"1225","L"
"1226","W"
"1227","W"
"1228","L"
"1229","W"
"1230","W"
"1231","D"
"1232","L"
"1233","L"
"1234","L"
"1235","D"
"1236","L"
"1237","D"
"1238","W"
"1239","W"
"1240","D"
"1241","L"
"1242","L"
"1243","D"
"1244","L"
"1245","D"
"1246","W"
"1247","D"
"1248","L"
"1249","D"
"1250","L"
"1251","W"
"1252","W"
"1253","D"
"1254","W"
"1255","W"
"1256","W"
"1257","W"
"1258","L"
"1259","L"
"1260","D"
"1261","W"
"1262","W"
"1263","L"
"1264","W"
"1265","L"
"1266","D"
"1267","W"
"1268","L"
"1269","L"
"1270","L"
"1271","W"
"1272","W"
"1273","D"
"1274","D"
"1275","W"
"1276","W"
"1277","W"
"1278","D"
"1279","D"
"1280","W"
"1281","W"
"1282","D"
"1283","L"
"1284","W"
"1285","L"
"1286","W"
"1287","D"
"1288","W"
"1289","W"
"1290","D"
"1291","L"
"1292","W"
"1293","L"
